date,rainfall_Marborough,rainfall_Andover,rainfall_Bath,rainfall_Ower,rainfall_Quidhampton,rainfall_Salisbury_rain,rainfall_Stockbridge,tasmax_Andover_temp,tasmin_Andover_temp,flow_BL,flow_Ower
2015/1/1,4.823835563,3.244977719,7.094041142,2.337327909,3.443382103,3.805032423,2.799114935,12.6089086,2.362196732,16.7,0.663
2015/1/2,9.917366718,10.75261396,9.913743993,12.514042,9.709786758,12.43330774,11.20381336,8.706101274,6.048338261,16.7,0.751
2015/1/3,2.857876287,2.293825361,2.285656394,1.830079187,2.719722913,1.934295208,1.95484086,10.88212067,2.288061865,16.7,4.54
2015/1/4,0.03655073,0.001408074,0.015046995,0.002645596,0.17326762,0.002100842,0.004320489,6.838910939,-0.932173309,17.1,2.95
2015/1/5,0.428590682,0.512320783,0.492670003,0.804242105,0.240972706,1.613856096,0.858075487,9.618416482,0.511689588,17.6,1.7
2015/1/6,0.84737935,0.117906018,0.738852204,0.793327147,0.50034583,0.952348891,0.392235092,10.24418485,6.627371601,17.9,1.4
2015/1/7,11.94223752,15.74291127,10.47303905,15.93021896,11.2049824,10.67874502,12.74977047,11.36275897,-0.029734393,17.6,1.1
2015/1/8,4.6713836,3.628045539,4.703617991,6.667936078,6.991149425,7.364518838,6.259771755,11.28742739,3.369760381,17.3,6.6
2015/1/9,0.997426123,0.592645253,0.534232369,0.113725453,1.091262096,1.875016874,0.797363607,14.66006945,5.365172006,17.2,3.96
2015/1/10,0.280700007,0.791624583,0.185579429,1.90951286,1.346339774,1.822737082,1.604528849,12.81589281,10.09141052,17.2,3.13
2015/1/11,0.558304322,0.035741519,1.163556301,0.077175742,0.243615551,0.656920696,0.309424108,9.823054725,2.125194472,16.8,2.08
2015/1/12,10.82960643,13.38065952,9.705472382,15.36961542,16.19659509,12.30823589,16.6222,11.61644585,4.002067903,16.6,2.61
2015/1/13,5.794809905,3.01256657,8.014341213,1.534773491,5.305137581,4.612658278,1.333739372,8.098368613,4.718304118,16.3,5.15
2015/1/14,17.56101444,20.80018916,15.78113259,19.68899217,14.68553892,23.0856157,20.67794231,10.74906,1.226689634,16.1,4.47
2015/1/15,1.561710502,1.057108019,2.06811542,0.953272663,0.44429311,1.663411025,1.342444438,8.112036181,1.474444811,15.9,9.22
2015/1/16,0.131207434,0.00145542,0.457971723,0.006802886,0.029581827,0.010500338,0.00282782,7.259355785,2.739306442,15.7,3.66
2015/1/17,1.9412191,0.68798991,2.754929311,0.630317525,1.251272696,0.825008808,0.573019977,6.159636868,-2.779043561,15.6,2.65
2015/1/18,0.061631295,0.078985926,0.07399498,0.007102729,0.192805864,0.009517506,0.302401536,4.385892682,0.637730696,15.5,1.92
2015/1/19,0.002448598,0.135029692,0.056175484,0.000347784,0.008577521,0.000591257,0.003764557,4.073212747,-1.093295206,15.4,1.51
2015/1/20,6.626693814,10.71257285,2.653596728,8.868827968,4.562034391,10.03874175,11.41463972,4.136876895,-4.044215444,16.7,1.68
2015/1/21,0.405570633,0.149606593,3.020877885,0.250557781,0.198175669,0.121519738,0.074907313,4.969076372,-2.568696687,17.4,5.2
2015/1/22,0.004145956,0.000562351,0.008154772,0.074980429,0.001254253,0.015252572,0.002661213,4.092928591,-0.986546008,16,3.2
2015/1/23,2.138057943,1.685240887,1.874482692,2.441907122,2.782784143,2.341308487,2.078038086,8.91374962,-5.897733368,16.9,2.15
2015/1/24,0.016527497,0.001042017,0.022107319,0.000984449,0.003059281,0.002823168,0.136311367,6.88932888,-4.085650263,16.1,2.45
2015/1/25,0.699817307,0.072410979,0.841653407,0.307122518,0.243413523,0.408468624,0.180625719,9.10155997,-1.087352564,15.4,1.58
2015/1/26,0.012340164,0.001236346,0.057384139,0.001259966,0.01319942,0.006443574,0.001330494,9.920618828,2.086309767,17.2,1.36
2015/1/27,0.293463141,0.265187709,1.059032001,0.425058242,0.247476861,0.783219842,0.486770619,9.712677071,1.694354542,18.4,1.07
2015/1/28,1.651685082,0.985097538,1.597211307,0.743702171,2.187526243,3.826953059,2.548122524,10.04396198,4.372873016,16.4,1.22
2015/1/29,1.190373366,1.129507854,2.008286934,3.840791468,0.900155281,4.119523348,2.832238839,5.656274512,1.000389977,19,1.84
2015/1/30,2.24311141,0.486270467,0.89775642,0.410820105,2.12454197,0.704858845,0.687118765,7.149474054,0.10226281,18.5,2.42
2015/1/31,0.513993748,0.09123091,0.161753038,0.150107348,2.085465878,0.023972475,0.039769348,5.539308625,-0.286019961,16.6,1.55
2015/2/1,0.009752735,0.000362318,0.011719647,0.000364034,0.000416706,0.002521833,0.000210915,5.091567712,1.077282794,15.8,1.05
2015/2/2,1.156227302,1.470446908,0.018856606,0.550809855,2.290406519,2.393262323,2.311794177,2.785667796,-3.25606164,15.9,0.832
2015/2/3,0.048753363,0.05535919,0.060735286,0.105506655,0.013403966,0.032551051,0.00995286,2.955977913,-2.048169594,15.5,0.778
2015/2/4,0.028608871,0.008090177,0.030901341,0.008970468,0.010150788,0.033333754,0.005163931,4.460607055,-1.488604487,15.7,0.732
2015/2/5,0.225301917,0.33031871,0.158986245,0.088545819,0.378464666,0.432266778,0.188061774,3.587326373,-0.200563619,16.1,0.68
2015/2/6,0.109041342,0.0866763,0.031286962,0.001065244,0.016983902,0.028989494,0.002973705,4.333210908,-1.603995624,16.1,0.636
2015/2/7,0.025356122,0.006148718,0.05981614,0.000845114,0.000744657,0.002166774,0.138723815,4.719365112,-1.015541357,15.6,0.599
2015/2/8,0.043709695,0.005155869,0.014795904,0.007664043,0.001658551,0.028573151,0.002908618,8.228998418,-0.184911293,14.9,0.579
2015/2/9,0.051365526,0.00679175,0.103183265,0.071807716,0.167610256,0.028791568,0.003356719,7.538951477,-1.060913111,14.6,0.568
2015/2/10,0.001657526,0.016097553,0.002053776,0.005980679,0.000188722,0.002614207,0.008031218,6.231777035,-1.570307504,14.5,0.562
2015/2/11,0.002100179,3.77E-05,0.002644637,1.90E-05,0,0.000814914,6.01E-05,5.430437209,1.996896629,14.5,0.566
2015/2/12,0.119687811,0.10318945,0.532560553,0.07916394,0.00908024,0.733885484,0.147717154,7.329977783,2.645090068,14.4,0.562
2015/2/13,7.575840437,11.02712341,4.984439532,13.301291,15.57004731,11.94663279,11.66013206,8.582858078,1.491266663,14.3,1.86
2015/2/14,0.295626797,0.130747381,0.227030585,0.220902366,0.044984719,0.589320763,0.165309398,8.081093614,3.142639677,14.2,3.05
2015/2/15,0.515235092,0.114374058,1.93175162,0.012606189,0.011255703,0.929428615,0.020711417,8.317971435,3.874862782,14.1,1.46
2015/2/16,6.53010021,6.154963691,3.856579488,7.276444743,6.98425385,5.295578818,6.769929128,7.179578498,0.256094622,14,2.9
2015/2/17,0.070562994,0.087632623,0.044735024,0.001500331,0.00173056,0.004560055,0.140014208,8.237733097,0.031267147,13.9,2.18
2015/2/18,0.021876771,0.002599597,0.037409538,0.001767184,0.001608347,0.33447259,0.001811654,9.516386971,-1.493694686,13.8,1.26
2015/2/19,13.56041485,10.43309469,12.38039724,13.78643444,9.614189133,11.29455557,12.98938864,7.908476705,2.528075683,13.8,3.19
2015/2/20,0.252705902,0.146601287,0.341175885,0.305906126,0.08401298,1.371964153,0.253329827,6.833316984,2.642893948,13.8,4.49
2015/2/21,0.301711124,0.187074444,0.762311554,0.274435243,0.010015124,0.181311332,1.156712022,7.448160193,0.71998085,13.7,3.04
2015/2/22,8.669076307,8.428012096,12.67398722,13.4276765,9.699631902,12.89136785,10.02571211,9.812907409,-2.858207326,13.5,5.68
2015/2/23,4.55229675,1.869569444,3.844205297,0.672248338,2.495122112,2.017747081,2.02402667,7.120111057,0.204897963,13.4,4.65
2015/2/24,1.848940034,0.781787783,2.536255902,0.467333447,0.708372619,0.146253766,0.530751473,9.044171068,2.301888233,13.4,2.96
2015/2/25,0.249220933,0.389802746,1.07698504,0.372698308,0.037144937,0.908294295,0.476691818,12.52262036,3.336201126,13.3,2.05
2015/2/26,3.665451675,4.087558739,3.207997842,3.504556319,4.374983517,3.034914677,3.819609876,11.00192319,7.154527925,13.3,2.55
2015/2/27,0.356242815,0.77984681,0.345336397,2.518304578,0.267929848,2.357051214,1.264436476,9.137643147,-0.699269224,13.3,1.79
2015/2/28,3.400183919,3.939900026,2.92327831,4.095088494,3.58692359,3.981592227,4.312390324,10.86868609,2.751099042,13.3,2.65
2015/3/1,4.091465894,6.144813954,4.79837352,4.506514612,2.792267606,4.860815622,4.298134881,11.1506109,5.900819942,13.2,3.57
2015/3/2,0.504606997,0.424580106,1.093389504,3.079578507,0.078532462,1.262052507,0.906870746,8.014992955,1.545138884,13.5,2.85
2015/3/3,0.110731386,0.139879143,0.496624319,0.498546225,0.017882501,0.058733041,0.030091597,8.432609495,1.155488946,13.2,2.86
2015/3/4,0.01609873,0.000141057,0.018887744,0.000842429,0.000255333,0.001358128,0.000498155,10.06281307,1.053414242,13.2,1.63
2015/3/5,0.001176133,3.11E-05,0.010953086,0.000309597,0.000237433,0.000299431,0.000142424,10.82386371,-1.60888976,13.4,1.16
2015/3/6,0,1.79E-05,0.007817098,0.000939781,0,0.000128503,0.000118266,11.68113689,1.552229642,13.2,1.01
2015/3/7,0.000721141,3.08E-05,0.023646161,7.01E-05,0.000364008,0.000342878,5.12E-05,13.75350571,4.637464217,12.9,0.94
2015/3/8,0.086543401,0.004680698,0.141927635,0.003329639,0.003939305,0.036620846,0.012270766,11.61900343,5.487401874,12.8,0.838
2015/3/9,0.447624194,0.275876221,1.13810482,0.392308472,0.239217431,0.421919303,0.324226135,9.963437422,1.003046624,12.8,0.742
2015/3/10,0.013394875,0.000681579,0.022297731,0.025825602,0.000820309,0.002727457,0.001966367,11.48388331,2.171095251,12.8,0.686
2015/3/11,0.002746939,0.000394061,0.013295226,0.000479396,0.001117563,0.006265981,0.000772563,12.24756151,2.001737589,12.7,0.63
2015/3/12,3.149704202,0.030484038,4.111434189,0.064156407,0.057349669,4.324398057,0.06948376,12.67581401,6.569335319,12.5,0.6
2015/3/13,0.042799875,0.000802566,0.38488159,0.001179969,0.008030953,0.019208424,0.001934216,11.31825457,6.074241569,12.3,0.572
2015/3/14,0.004737316,0.000766945,0.001278441,0.000655088,0.006982923,0.005475137,0.001000038,8.443259656,1.07314278,12.1,0.538
2015/3/15,0.542353396,0.405500303,0.026718838,0.02326643,1.233780834,0.384216983,0.476305639,6.538650494,3.170546987,12,0.518
2015/3/16,1.545349961,1.273805007,0.830256319,1.039183763,1.864126811,1.385674383,2.008524769,7.384086134,3.957327163,11.9,0.513
2015/3/17,0.043711638,0.036856278,0.066560711,0.000972328,0.169570327,0.016088977,0.009451914,11.01999265,3.223118394,11.8,0.516
2015/3/18,0.001752244,6.19E-05,0.000479299,0.06916045,4.29E-05,0.00026576,0.000592284,11.29383584,1.486453046,11.7,0.504
2015/3/19,0,0,0,0,0,0,0,7.481416669,3.415685028,11.6,0.476
2015/3/20,0.000189132,1.51E-05,0,0.00015524,0.000212679,0.000139485,5.31E-05,12.82822413,3.92319407,11.5,0.463
2015/3/21,2.23E-05,0,0,0,0,0,0,9.393656347,3.278750183,11.4,0.456
2015/3/22,0.000111993,0,0,3.16E-05,0,0,0,10.33801412,3.66312663,11.4,0.44
2015/3/23,1.572815484,1.059422322,1.566007628,0.436408543,0.781209754,1.028210867,1.492870183,9.858133595,0.915782589,11.3,0.436
2015/3/24,0.336015425,0.221543035,1.653912197,1.09102177,0.855334741,0.134290351,0.252764436,10.7100362,2.024167416,11.1,0.435
2015/3/25,4.528862252,4.654622025,3.552138882,4.173922243,5.351964299,4.70798924,3.768522828,10.25456492,-1.261134785,11.1,0.434
2015/3/26,0.027024929,0.001304013,0.043090743,0.027291165,0.014531678,0.009018867,0.003913597,13.11946331,1.948623554,11,0.446
2015/3/27,0.162365824,0.077892529,0.282736141,0.142929612,0.196537191,0.736369235,0.161726347,12.45340483,0.626684342,10.9,0.455
2015/3/28,5.781836521,4.121050736,7.028247455,2.832365337,3.777188798,4.068880521,3.753021647,13.81482239,6.4691594,10.7,0.448
