date,rainfall_Marborough,rainfall_Andover,rainfall_Bath,rainfall_Ower,rainfall_Quidhampton,rainfall_Salisbury_rain,rainfall_Stockbridge,tasmax_Andover_temp,tasmin_Andover_temp,flow_BL,flow_Ower
1980/1/1,0.000328872,0.000362732,0.013192316,7.15E-05,0.000557925,0.000573718,0.000466116,0.444644666,-3.864214835,13.45,1.03
1980/1/2,0.847044026,0.251293471,1.160641593,0.355688944,1.052218495,0.680204901,0.591661241,3.26175267,-5.863471795,13.01,0.895
1980/1/3,12.02860708,11.89042594,5.864268729,10.26660735,11.26713805,10.03584808,12.33613589,10.48861382,-5.421298111,13.48,2.42
1980/1/4,0.916689523,0.191076835,1.177846735,0.473837942,0.281838326,0.544919028,0.303007615,8.694249905,2.706690275,16.15,2.73
1980/1/5,0.083209889,0.130131024,0.221254828,0.005975962,0.009431805,0.016987116,0.017746312,7.946225091,1.303072963,14.43,1.32
1980/1/6,0.000596459,0.000672185,0.000518095,0.000256628,0.004009243,0.001255219,0.001451584,7.564888651,2.511198149,13.63,1.08
1980/1/7,0.046286944,0.01175021,0.021502479,0.000719585,0.006654389,0.003558458,0.00274574,5.160326749,0.318272017,13.09,1.07
1980/1/8,0.000552572,0.000231462,4.04E-05,0.000262932,0.006643422,0.001362235,0.000619383,4.744313143,0.534624443,12.69,1.06
1980/1/9,0.000402046,0.000208688,0.008915196,0.001595391,0.000171474,0.020659636,0.002610058,3.059771618,-1.519969682,12.52,0.816
1980/1/10,2.01E-05,0.000304047,3.99E-06,0.000386685,0.001509203,1.55E-06,0.000927706,2.785861111,-0.444379863,12.31,0.548
1980/1/11,0,0,0.000318471,0,0,0,0,1.523021865,-3.438467614,11.98,0.511
1980/1/12,0,3.20E-06,2.03E-05,0,5.85E-05,0,0,1.220989123,-3.933941192,11.88,0.478
1980/1/13,0,9.61E-06,2.48E-05,0,0.000175572,0,0,1.300968098,-4.567220386,11.8,0.465
1980/1/14,3.725179941,0.543759112,5.810777695,0.020996884,0.41565214,2.002715635,0.265135352,0.560500492,-5.128518487,11.71,0.465
1980/1/15,0.183377258,0.278665553,0.161378861,0.002528638,0.380568708,0.10436081,0.031953011,2.070929192,-4.357637104,11.24,0.459
1980/1/16,0.000169681,6.06E-05,0.000557484,3.33E-05,0.0003176,0.000528852,9.90E-05,3.550687816,-0.413354941,11.61,0.459
1980/1/17,0,0.000241148,5.16E-05,0.000678826,0.001296711,0.000429004,0.000916558,3.600766579,-1.699569343,11.58,0.481
1980/1/18,0.049929749,0.105370773,0.001390211,0.00707062,0.030438032,0.356815785,0.462087075,1.345173934,-1.729759878,11.49,0.547
1980/1/19,2.965296967,2.110548559,1.234499919,4.285270319,2.107272792,4.271757507,3.115506144,4.227846774,-1.99133167,11.41,0.671
1980/1/20,15.11863626,17.80165223,11.22725525,17.22705361,13.76965828,18.34938107,16.97373787,6.744420705,-0.262183295,11.53,1.12
1980/1/21,13.90712112,5.107435972,13.03944448,4.02205953,3.213919731,4.479707795,5.12564115,8.16133801,-0.256931847,15.86,5.22
1980/1/22,1.220534284,0.33603519,2.882045462,0.129616189,0.810752384,0.446489377,0.110309,7.614421161,2.553341269,15.32,2.28
1980/1/23,1.797592978,0.018083533,3.576808887,0.098489742,0.017604863,0.104748448,0.018255346,7.768396754,1.893188462,13.02,1.34
1980/1/24,0.000987378,0.000460952,0.002967808,0.000801462,0.13648784,0.003603987,0.001104634,7.335220924,-0.734151505,12.23,1.01
1980/1/25,0.004261702,0.011844734,0.045704688,0.001816306,0.008373096,0.024568612,0.00514769,5.752149238,-1.504398247,11.66,0.844
1980/1/26,0.000194871,1.42E-05,0.000793757,9.35E-05,2.46E-05,0.000732851,9.50E-05,2.647430305,-2.425276819,11.43,0.777
1980/1/27,0.062186176,0.00186278,0.120103737,0.001125221,0.100073209,0.004529069,0.008819223,3.444354853,-4.044511998,11.1,0.711
1980/1/28,0.025356618,0.000469934,0.014623185,0.000237528,0.001923863,0.002130576,0.000796015,6.17602407,-2.888705896,11.07,0.681
1980/1/29,1.255603825,0.783845549,1.324122926,0.596655287,0.90181364,0.804780867,0.631054768,8.866799307,0.777994471,11.04,0.681
1980/1/30,5.925957986,6.259039009,4.260565792,11.92512786,6.302791762,8.56818226,7.533505208,10.26326844,2.471322663,11.17,1.12
1980/1/31,0.608105454,7.334906915,1.212400167,5.661255427,7.823401025,10.47535594,8.045320462,8.438501579,5.451329488,13.33,3.84
1980/2/1,12.19249922,5.639178835,5.964863575,5.687369912,6.186878274,6.51713812,5.37526631,7.941375199,-1.587156464,13.13,1.84
1980/2/2,2.930054066,2.981651699,2.318414773,2.921511325,3.506216977,3.238028936,3.797947496,9.325672513,-0.766725742,13.03,2.94
1980/2/3,4.07782778,4.502467809,3.893050721,8.061938021,6.070725739,6.176835563,6.477227568,10.21207481,2.943052653,14.06,3.93
1980/2/4,17.84849917,14.18312478,19.52638868,13.07312172,14.00768032,14.9572424,15.0469059,9.689276795,3.654974327,15.63,5.37
1980/2/5,0.065317661,0.071350797,0.283431756,0.265753457,0.71915367,0.686608421,0.150233133,10.24133943,3.466574646,16.32,3.5
1980/2/6,6.846422643,4.474441539,5.229991999,7.198481326,6.187324317,7.349272639,6.176542259,8.086436557,4.615467898,14.37,3.64
1980/2/7,6.414285502,3.950324058,6.823904109,5.841045525,3.849075555,7.981208421,4.420097126,9.527117056,3.459425416,14.48,2.98
1980/2/8,1.784937288,1.216628717,3.243093613,0.933815379,0.881535738,1.929744239,0.518912356,10.39734952,4.080239955,14.48,3.44
1980/2/9,0.953997219,0.410815784,0.809215495,0.253179004,0.448190707,0.670505374,0.098077442,10.62313043,7.393765032,14,2.15
1980/2/10,0.036880554,0.016447655,0.207824986,0.000595573,0.079965172,0.011253508,0.001332644,10.45336009,3.326078556,13.32,1.54
1980/2/11,0.508366088,0.004420663,0.491950025,0.004300078,0.006973936,0.386655517,0.071550751,11.50919482,3.838062061,13.22,1.21
1980/2/12,0.000120525,0.000738552,0.00224674,0.00036271,0.000734428,0.001104624,0.001080142,9.889091372,4.021392565,13.01,1.02
1980/2/13,1.16E-05,0,0.000425216,0,0,0,0,8.30360551,4.379145148,13.02,0.914
1980/2/14,2.899656398,1.241680255,2.214101788,0.36087912,1.692580518,1.324640841,0.353991089,9.136369555,4.984481686,13.12,0.817
1980/2/15,2.754748011,2.427228574,4.289878727,2.973821462,3.361304637,4.268961917,2.657738012,11.8351757,5.825856864,13.27,0.77
1980/2/16,0.468343093,1.251270956,0.248390438,0.747371666,0.981575824,0.730949354,0.328166378,9.617378696,4.619685874,13.53,0.924
