date,rainfall_Marborough,rainfall_Andover,rainfall_Bath,rainfall_Ower,rainfall_Quidhampton,rainfall_Salisbury_rain,rainfall_Stockbridge,tasmax_Andover_temp,tasmax_Ashe,tasmax_Knook,tasmax_Romsey_temp,tasmax_Salisbury_temp,tasmin_Andover_temp,tasmin_Ashe,tasmin_Knook,tasmin_Romsey_temp,tasmin_Salisbury_temp,flow_BL
1980/1/1,0.000328872,0.000362732,0.013192316,7.15E-05,0.000557925,0.000573718,0.000466116,0.444644666,0.036597088,0.815506025,1.017091399,0.730141576,-3.864214835,-4.133711924,-4.080197918,-3.845638571,-4.160986358,13.45
1980/1/2,0.847044026,0.251293471,1.160641593,0.355688944,1.052218495,0.680204901,0.591661241,3.26175267,2.631389761,4.09588407,4.462532464,3.085115836,-5.863471795,-6.100598363,-6.595866786,-5.335400142,-6.049895208,13.01
1980/1/3,12.02860708,11.89042594,5.864268729,10.26660735,11.26713805,10.03584808,12.33613589,10.48861382,10.01402224,10.82745369,10.90658017,10.69002865,-5.421298111,-5.748235416,-5.7786331,-5.152504993,-5.515318663,13.48
1980/1/4,0.916689523,0.191076835,1.177846735,0.473837942,0.281838326,0.544919028,0.303007615,8.694249905,8.309703119,8.958974629,9.381093876,8.897558525,2.706690275,2.080904434,3.189326216,3.796971778,2.533827656,16.15
1980/1/5,0.083209889,0.130131024,0.221254828,0.005975962,0.009431805,0.016987116,0.017746312,7.946225091,7.353529522,8.144314474,8.763507299,8.23241529,1.303072963,1.019069302,1.305610689,1.229334444,1.066575992,14.43
1980/1/6,0.000596459,0.000672185,0.000518095,0.000256628,0.004009243,0.001255219,0.001451584,7.564888651,7.064828458,7.558456094,8.343292721,7.818695974,2.511198149,2.204659219,2.75870412,2.58895956,2.600006692,13.63
1980/1/7,0.046286944,0.01175021,0.021502479,0.000719585,0.006654389,0.003558458,0.00274574,5.160326749,4.931777837,5.269174515,5.727622118,5.064767941,0.318272017,0.625390429,-0.47957497,-0.181145241,-0.298083996,13.09
1980/1/8,0.000552572,0.000231462,4.04E-05,0.000262932,0.006643422,0.001362235,0.000619383,4.744313143,4.208259128,5.110315281,5.858875479,5.128790362,0.534624443,0.539857084,-0.349776921,0.250865016,-0.193715088,12.69
1980/1/9,0.000402046,0.000208688,0.008915196,0.001595391,0.000171474,0.020659636,0.002610058,3.059771618,2.907149919,3.404320847,3.845618314,3.112674813,-1.519969682,-1.748008868,-1.63815572,-1.178719255,-1.461254026,12.52
1980/1/10,2.01E-05,0.000304047,3.99E-06,0.000386685,0.001509203,1.55E-06,0.000927706,2.785861111,2.337257637,2.922674474,3.263423263,3.115816206,-0.444379863,-0.773337081,-0.758797347,-0.13272701,-0.697201265,12.31
1980/1/11,0,0,0.000318471,0,0,0,0,1.523021865,1.356042167,1.126157874,2.195207662,1.23683244,-3.438467614,-3.547208347,-4.481625205,-3.409184009,-4.369375243,11.98
1980/1/12,0,3.20E-06,2.03E-05,0,5.85E-05,0,0,1.220989123,0.935798966,1.527364566,1.73058594,1.404561929,-3.933941192,-4.335363959,-4.4843228,-3.112089611,-4.42635891,11.88
1980/1/13,0,9.61E-06,2.48E-05,0,0.000175572,0,0,1.300968098,1.096772425,1.042035167,2.119587859,1.246294171,-4.567220386,-4.656975696,-5.15563193,-3.824303198,-5.01833052,11.8
1980/1/14,3.725179941,0.543759112,5.810777695,0.020996884,0.41565214,2.002715635,0.265135352,0.560500492,0.170345839,0.921361307,1.313298123,0.733427825,-5.128518487,-5.358976125,-6.086791411,-4.766291479,-5.443527517,11.71
1980/1/15,0.183377258,0.278665553,0.161378861,0.002528638,0.380568708,0.10436081,0.031953011,2.070929192,1.697998672,2.202089142,2.582814768,2.160917535,-4.357637104,-4.454196519,-5.070456123,-3.844173672,-4.512215975,11.24
1980/1/16,0.000169681,6.06E-05,0.000557484,3.33E-05,0.0003176,0.000528852,9.90E-05,3.550687816,3.355277835,3.474785049,4.330458294,3.461013093,-0.413354941,-0.628019072,-0.488407654,-0.211611128,-0.358048774,11.61
1980/1/17,0,0.000241148,5.16E-05,0.000678826,0.001296711,0.000429004,0.000916558,3.600766579,3.315784851,3.447764779,4.469145948,3.581288438,-1.699569343,-1.813714017,-1.685991163,-1.372063188,-2.084868429,11.58
1980/1/18,0.049929749,0.105370773,0.001390211,0.00707062,0.030438032,0.356815785,0.462087075,1.345173934,0.889345467,1.555775205,2.55615552,1.229625246,-1.729759878,-2.107429392,-2.2609902,-1.242554457,-1.925595705,11.49
1980/1/19,2.965296967,2.110548559,1.234499919,4.285270319,2.107272792,4.271757507,3.115506144,4.227846774,3.79101011,4.472505558,5.171744766,4.652009324,-1.99133167,-2.951272524,-2.171280105,-1.327533273,-1.544981684,11.41
1980/1/20,15.11863626,17.80165223,11.22725525,17.22705361,13.76965828,18.34938107,16.97373787,6.744420705,6.090519378,7.170811179,7.664561092,6.981105541,-0.262183295,-0.337520572,-1.106193062,-0.004600739,-0.480773609,11.53
1980/1/21,13.90712112,5.107435972,13.03944448,4.02205953,3.213919731,4.479707795,5.12564115,8.16133801,7.588949841,8.146319269,8.977895605,8.394953024,-0.256931847,-0.261454808,-0.605575935,0.247266757,-0.20308568,15.86
1980/1/22,1.220534284,0.33603519,2.882045462,0.129616189,0.810752384,0.446489377,0.110309,7.614421161,7.075603409,7.426473905,8.404592988,7.884332368,2.553341269,2.608860159,2.49849723,4.014438898,3.065038527,15.32
1980/1/23,1.797592978,0.018083533,3.576808887,0.098489742,0.017604863,0.104748448,0.018255346,7.768396754,7.175729447,7.806940231,8.674446642,8.09087341,1.893188462,1.699695128,1.635169161,2.344496612,1.647545437,13.02
1980/1/24,0.000987378,0.000460952,0.002967808,0.000801462,0.13648784,0.003603987,0.001104634,7.335220924,6.869323115,7.335727605,7.944259662,7.65682598,-0.734151505,-0.675740215,-0.997153726,-0.895271611,-1.467395805,12.23
1980/1/25,0.004261702,0.011844734,0.045704688,0.001816306,0.008373096,0.024568612,0.00514769,5.752149238,5.60449784,6.860042408,5.266504318,6.493446456,-1.504398247,-1.411756393,-1.607172378,-2.21018491,-2.132176556,11.66
1980/1/26,0.000194871,1.42E-05,0.000793757,9.35E-05,2.46E-05,0.000732851,9.50E-05,2.647430305,2.676934262,2.40647158,3.159670382,2.22420065,-2.425276819,-2.657181439,-3.060647706,-2.508901596,-3.557110258,11.43
1980/1/27,0.062186176,0.00186278,0.120103737,0.001125221,0.100073209,0.004529069,0.008819223,3.444354853,3.126358106,3.953548823,4.066007977,3.757252554,-4.044511998,-4.573774657,-4.865794852,-3.875604298,-4.530574814,11.1
1980/1/28,0.025356618,0.000469934,0.014623185,0.000237528,0.001923863,0.002130576,0.000796015,6.17602407,5.781898953,6.744466955,6.729571548,6.276438471,-2.888705896,-3.352621984,-3.152009259,-2.502671527,-3.176247677,11.07
1980/1/29,1.255603825,0.783845549,1.324122926,0.596655287,0.90181364,0.804780867,0.631054768,8.866799307,8.497010081,9.374572954,9.31109937,9.04451723,0.777994471,0.630448222,0.261488634,0.20643939,0.257319348,11.04
1980/1/30,5.925957986,6.259039009,4.260565792,11.92512786,6.302791762,8.56818226,7.533505208,10.26326844,9.756508458,10.4607774,11.12891254,10.51805471,2.471322663,2.513671477,2.604218307,2.022014889,2.391658088,11.17
1980/1/31,0.608105454,7.334906915,1.212400167,5.661255427,7.823401025,10.47535594,8.045320462,8.438501579,8.045089745,8.667589224,9.197745678,8.571439684,5.451329488,5.145780238,5.101036131,6.111074266,5.365621072,13.33
1980/2/1,12.19249922,5.639178835,5.964863575,5.687369912,6.186878274,6.51713812,5.37526631,7.941375199,7.477808464,8.027389323,8.52963514,8.292556012,-1.587156464,-2.357152568,-1.71615575,-0.986794912,-1.322530452,13.13
1980/2/2,2.930054066,2.981651699,2.318414773,2.921511325,3.506216977,3.238028936,3.797947496,9.325672513,9.008084822,9.117244592,10.13171525,9.494005397,-0.766725742,-1.371325573,-0.625350487,-0.361802091,-0.48864538,13.03
