date,value
2007/6/30,1.11
2007/7/1,1.18
2007/7/2,1.05
2007/7/3,1.03
2007/7/4,1.05
2007/7/5,1.05
2007/7/6,1.04
2007/7/7,1.02
2007/7/8,1.01
2007/7/9,1.04
2007/7/10,1.04
2007/7/11,1.02
2007/7/12,1.01
2007/7/13,1.01
2007/7/14,1
2007/7/15,0.99
2007/7/16,0.992
2007/7/17,0.991
2007/7/18,0.958
2007/7/19,0.963
2007/7/20,1.03
2007/7/21,1.1
2007/7/22,1.09
2007/7/23,1.05
2007/7/24,1.06
2007/7/25,1.07
2007/7/26,1.01
2007/7/27,1.07
2007/7/28,1.05
2007/7/29,1.07
2007/7/30,1.05
2007/7/31,1.02
2007/8/1,0.992
2007/8/2,1
2007/8/3,0.987
2007/8/4,0.983
2007/8/5,0.971
2007/8/6,0.978
2007/8/7,0.985
2007/8/8,0.969
2007/8/9,0.961
2007/8/10,0.953
2007/8/11,0.942
2007/8/12,0.947
2007/8/13,0.947
2007/8/14,0.982
2007/8/15,1.03
2007/8/16,1.01
2007/8/17,0.979
2007/8/18,0.972
2007/8/19,0.975
2007/8/20,0.958
2007/8/21,0.944
2007/8/22,0.907
2007/8/23,0.881
2007/8/24,0.87
2007/8/25,0.854
2007/8/26,0.889
2007/8/27,0.883
2007/8/28,0.889
2007/8/29,0.88
2007/8/30,0.88
2007/8/31,0.873
2007/9/1,0.866
2007/9/2,0.858
2007/9/3,0.854
2007/9/4,0.852
2007/9/5,0.841
2007/9/6,0.836
2007/9/7,0.821
2007/9/8,0.8
2007/9/9,0.785
2007/9/10,0.789
2007/9/11,0.788
2007/9/12,0.787
2007/9/13,0.791
2007/9/14,0.786
2007/9/15,0.78
2007/9/16,0.793
2007/9/17,0.792
2007/9/18,0.802
2007/9/19,0.797
2007/9/20,0.797
2007/9/21,0.791
2007/9/22,0.786
2007/9/23,0.787
2007/9/24,0.832
2007/9/25,0.818
2007/9/26,0.805
2007/9/27,0.807
2007/9/28,0.798
2007/9/29,0.807
2007/9/30,0.802
2007/10/1,0.802
2007/10/2,0.798
2007/10/3,0.786
2007/10/4,0.779
2007/10/5,0.765
2007/10/6,0.757
