measure,date,dateTime,value,completeness,quality
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},2021-08-09,2021-08-09T09:00:00,6.542,Complete,Unchecked
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},2021-08-13,2021-08-13T09:00:00,5.276,Complete,Unchecked
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},2021-08-10,2021-08-10T09:00:00,6.245,Complete,Unchecked
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},2021-08-11,2021-08-11T09:00:00,5.797,Complete,Unchecked
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},2021-05-12,2021-05-12T09:00:00,9.031,Complete,Unchecked
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},2021-08-12,2021-08-12T09:00:00,5.392,Complete,Unchecked
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},2021-02-10,2021-02-10T09:00:00,16.299,Complete,Unchecked
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},2020-04-05,2020-04-05T09:00:00,15.655,Complete,Unchecked
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},2020-09-28,2020-09-28T09:00:00,3.266,Complete,Unchecked
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},2021-06-22,2021-06-22T09:00:00,8.72,Complete,Unchecked
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},2021-06-23,2021-06-23T09:00:00,8.009,Complete,Unchecked
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},2020-05-27,2020-05-27T09:00:00,7.039,Complete,Unchecked
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},2020-05-28,2020-05-28T09:00:00,6.875,Complete,Unchecked
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},2020-05-29,2020-05-29T09:00:00,6.728,Complete,Unchecked
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},2020-05-31,2020-05-31T09:00:00,6.487,Complete,Unchecked
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},2020-06-01,2020-06-01T09:00:00,6.183,Complete,Unchecked
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},2020-06-23,2020-06-23T09:00:00,5.627,Complete,Unchecked
{'@id': 'http://environment.data.gov.uk/hydrology/id/measures/f47d3873-02f3-42e2-a96f-770c47772d6b-flow-m-86400-m3s-qualified'},2020-06-24,2020-06-24T09:00:00,5.44,Complete,Unchecked
